
                  X            U2 free node 3 

                0.                 0.         
                2.86573E-03        0.         
                5.73137E-03        4.09138E-03
                8.59665E-03       21.6124E-03 
               11.4613E-03        60.8044E-03 
               14.3252E-03       123.051E-03  
               17.1884E-03       200.401E-03  
               20.0513E-03       277.597E-03  
               22.914E-03        337.615E-03  
               25.7765E-03       368.063E-03  
               28.6388E-03       365.37E-03   
               32.0736E-03       325.153E-03  
               36.1952E-03       245.985E-03  
               41.1413E-03       124.852E-03  
               46.8144E-03      -127.189E-03  
               52.4868E-03      -665.213E-03  
               58.1591E-03        -1.45641    
               63.8296E-03        -2.31228    
               69.4981E-03        -3.1921     
               75.1674E-03        -4.23369    
               80.8398E-03        -5.44967    
               86.514E-03         -6.61486    
               92.1883E-03        -7.54776    
               97.8638E-03        -8.31643    
              103.543E-03         -9.0312     
              109.225E-03         -9.59097    
              114.907E-03         -9.81033    
              120.588E-03         -9.70799    
              126.269E-03         -9.47413    
              131.95E-03          -9.18681    
              137.63E-03          -8.75032    
              143.307E-03         -8.13486    
              148.981E-03         -7.49893    
              154.654E-03         -6.99492    
              160.326E-03         -6.5895     
              165.996E-03         -6.17987    
              171.663E-03         -5.79016    
              177.332E-03         -5.52468    
              183.002E-03         -5.37839    
              188.674E-03         -5.22324    
              194.346E-03         -4.97713    
              200.02E-03          -4.6743     
              205.698E-03         -4.34632    
              211.378E-03         -3.93251    
              217.059E-03         -3.36154    
              222.741E-03         -2.65608    
              228.424E-03         -1.89526    
              234.107E-03         -1.11564    
              239.788E-03       -312.822E-03  
              245.469E-03        480.32E-03   
              251.147E-03          1.18058    
              256.824E-03          1.7215     
              262.499E-03          2.08695    
              268.173E-03          2.27182    
              273.845E-03          2.25164    
              279.516E-03          2.00952    
              285.187E-03          1.56511    
              290.858E-03        958.58E-03   
              296.53E-03         225.387E-03  
              302.203E-03       -597.552E-03  
              307.878E-03         -1.45844    
              313.555E-03         -2.30331    
              319.234E-03         -3.09494    
              324.914E-03         -3.80784    
              330.595E-03         -4.41571    
              336.277E-03         -4.90139    
              341.958E-03         -5.27399    
              347.639E-03         -5.56116    
              353.318E-03         -5.78689    
              358.996E-03         -5.97004    
              364.672E-03         -6.14061    
              370.346E-03         -6.33794    
              376.018E-03         -6.5865     
              381.688E-03         -6.88525    
              387.357E-03         -7.22462    
              393.026E-03         -7.59932    
              398.695E-03         -7.99483    
              404.365E-03         -8.37242    
              410.036E-03         -8.68165    
              415.708E-03         -8.88435    
              421.382E-03         -8.95672    
              427.058E-03         -8.87411    
              432.735E-03         -8.61035    
              438.414E-03         -8.15676    
              444.093E-03         -7.53188    
              449.773E-03         -6.76816    
              455.452E-03         -5.89747    
              461.131E-03         -4.95541    
              466.808E-03         -3.9906     
              472.484E-03         -3.05733    
              478.158E-03         -2.19862    
              483.831E-03         -1.44179    
              489.503E-03       -807.6E-03    
              495.174E-03       -313.631E-03  
              500.846E-03         34.4568E-03 
              506.517E-03        248.738E-03  
              512.19E-03         351.709E-03  
              517.863E-03        366.197E-03  
              523.538E-03        314.549E-03  
              529.215E-03        222.343E-03  
              534.893E-03        115.562E-03  
              540.573E-03         12.554E-03  
              546.254E-03        -79.4021E-03 
              551.935E-03       -161.061E-03  
              557.616E-03       -238.88E-03   
              563.297E-03       -326.472E-03  
              568.978E-03       -444.815E-03  
              574.656E-03       -617.938E-03  
              580.334E-03       -867.782E-03  
              586.01E-03          -1.21203    
              591.684E-03         -1.66314    
              597.357E-03         -2.22587    
              603.029E-03         -2.89455    
              608.701E-03         -3.65286    
              614.372E-03         -4.47539    
              620.044E-03         -5.32905    
              625.716E-03         -6.1748     
              631.39E-03          -6.97118    
              637.064E-03         -7.67882    
              642.74E-03          -8.26362    
              648.417E-03         -8.69884    
              654.095E-03         -8.96764    
              659.773E-03         -9.06566    
              665.452E-03         -9.0014     
              671.13E-03          -8.79368    
              676.807E-03         -8.46871    
              682.483E-03         -8.05786    
              688.158E-03         -7.59507    
              693.832E-03         -7.11258    
              699.504E-03         -6.6368     
              705.176E-03         -6.18644    
              710.846E-03         -5.77229    
              716.517E-03         -5.39684    
              722.187E-03         -5.05378    
              727.859E-03         -4.72944    
              733.531E-03         -4.40617    
              739.205E-03         -4.06587    
              744.88E-03          -3.69204    
              750.556E-03         -3.27165    
              756.234E-03         -2.79775    
              761.913E-03         -2.2719     
