
                             U1 N: 2 NSET NODE  U2 N: 2 NSET NODE
                  X                 _1-1               _1-1      

                0.                 0.                 0.         
              552.391E-06          0.              -318.277E-06  
                1.10478E-03       62.522E-06         -1.03811E-03
                1.65717E-03      277.598E-06         -1.65611E-03
                2.20953E-03      599.072E-06         -1.79299E-03
                2.76185E-03      816.807E-06         -1.43792E-03
                3.3141E-03       713.836E-06       -897.027E-06  
                3.86631E-03      276.592E-06       -527.96E-06   
                4.49342E-03     -317.101E-06       -512.985E-06  
                5.11994E-03     -477.271E-06       -778.59E-06   
                5.74585E-03      -20.8278E-06        -1.04427E-03
                6.37116E-03      674.214E-06         -1.19221E-03
                6.99587E-03        1.01256E-03       -1.26348E-03
                7.62E-03         731.902E-06         -1.2711E-03 
                8.24354E-03      115.647E-06         -1.13621E-03
                8.8665E-03      -309.492E-06       -837.883E-06  
                9.48891E-03     -253.652E-06       -552.875E-06  
               10.1108E-03       141.687E-06       -550.995E-06  
               10.7322E-03       516.804E-06       -913.965E-06  
               11.3532E-03       635.215E-06         -1.3898E-03 
               11.9739E-03       518.715E-06         -1.58047E-03
               12.5943E-03       320.068E-06         -1.30573E-03
               13.2143E-03       145.659E-06       -783.774E-06  
               13.8341E-03        22.624E-06       -442.128E-06  
               14.4535E-03       -19.3385E-06      -539.707E-06  
               15.0727E-03        81.6912E-06      -959.258E-06  
               15.6917E-03       331.04E-06          -1.34526E-03
               16.3105E-03       591.289E-06         -1.42499E-03
               16.9292E-03       649.049E-06         -1.20564E-03
               17.5478E-03       410.624E-06       -902.634E-06  
               18.1662E-03        28.6955E-06      -722.968E-06  
               18.7845E-03      -197.121E-06       -726.034E-06  
               19.4026E-03       -76.5134E-06      -850.967E-06  
               20.0207E-03       297.64E-06          -1.0168E-03 
               20.6388E-03       626.55E-06          -1.16728E-03
               21.2567E-03       662.488E-06         -1.24684E-03
               21.8746E-03       407.26E-06          -1.19358E-03
               22.4925E-03        82.7166E-06      -997.87E-06   
               23.1103E-03       -74.1066E-06      -761.806E-06  
               23.7281E-03         8.83231E-06     -658.747E-06  
               24.3458E-03       226.037E-06       -793.214E-06  
               24.9635E-03       417.504E-06         -1.08765E-03
               25.5811E-03       488.821E-06         -1.32232E-03
               26.1988E-03       436.855E-06         -1.31232E-03
               26.8164E-03       306.454E-06         -1.06577E-03
               27.434E-03        154.503E-06       -777.139E-06  
               28.0516E-03        47.4007E-06      -662.669E-06  
               28.6691E-03        52.3889E-06      -788.049E-06  
               29.2867E-03       191.616E-06         -1.03531E-03
               29.9042E-03       395.627E-06         -1.21868E-03
               30.5218E-03       525.157E-06         -1.23094E-03
               31.1393E-03       472.292E-06         -1.09873E-03
               31.7568E-03       260.223E-06       -928.55E-06   
               32.3744E-03        41.4509E-06      -818.317E-06  
               32.9919E-03       -18.8883E-06      -810.272E-06  
               33.6094E-03       122.539E-06       -895.049E-06  
               34.2269E-03       353.59E-06          -1.03009E-03
               34.8444E-03       501.583E-06         -1.15004E-03
               35.4619E-03       470.276E-06         -1.18428E-03
               36.0794E-03       302.634E-06         -1.09771E-03
               36.6969E-03       128.903E-06       -931.265E-06  
               37.3143E-03        60.1722E-06      -793.368E-06  
               37.9318E-03       119.371E-06       -787.61E-06   
               38.5493E-03       249.6E-06         -927.35E-06   
               39.1668E-03       368.875E-06         -1.11492E-03
               39.7843E-03       418.121E-06         -1.2129E-03 
               40.4018E-03       379.16E-06          -1.1517E-03 
               41.0192E-03       273.719E-06       -982.34E-06   
               41.6367E-03       156.206E-06       -831.572E-06  
               42.2542E-03        94.935E-06       -801.475E-06  
               42.8717E-03       135.034E-06       -898.57E-06   
               43.4891E-03       260.57E-06          -1.04318E-03
               44.1066E-03       392.113E-06         -1.13804E-03
               44.7241E-03       436.436E-06         -1.13397E-03
               45.3416E-03       357.412E-06         -1.04827E-03
               45.959E-03        209.129E-06       -939.146E-06  
               46.5765E-03        98.1548E-06      -867.155E-06  
               47.194E-03        102.519E-06       -867.936E-06  
               47.8115E-03       213.634E-06       -939.915E-06  
               48.4289E-03       347.417E-06         -1.04419E-03
               49.0464E-03       411.42E-06          -1.11976E-03
               49.6639E-03       370.811E-06         -1.11629E-03
               50.2813E-03       264.098E-06         -1.03006E-03
               50.8988E-03       165.932E-06       -914.595E-06  
               51.5163E-03       133.894E-06       -848.944E-06  
               52.1338E-03       178.089E-06       -880.88E-06   
               52.7512E-03       265.232E-06       -988.894E-06  
               53.3687E-03       343.59E-06          -1.09624E-03
               53.9862E-03       370.28E-06          -1.12804E-03
               54.6037E-03       330.916E-06         -1.06614E-03
               55.2211E-03       247.398E-06       -958.889E-06  
               55.8386E-03       169.14E-06        -881.476E-06  
               56.4561E-03       146.397E-06       -881.378E-06  
               57.0736E-03       197.106E-06       -950.333E-06  
               57.691E-03        290.329E-06         -1.03795E-03
               58.3085E-03       363.477E-06         -1.08956E-03
               58.926E-03        365.586E-06         -1.07881E-03
               59.5435E-03       295.181E-06         -1.01756E-03
               60.1609E-03       202.194E-06       -944.114E-06  
               60.7784E-03       151.225E-06       -901.023E-06  
               61.3959E-03       174.732E-06       -913.006E-06  
               62.0134E-03       252.079E-06       -973.379E-06  
               62.6308E-03       328.147E-06         -1.04591E-03
               63.2483E-03       354.016E-06         -1.08461E-03
               63.8658E-03       318.243E-06         -1.06293E-03
               64.4833E-03       249.05E-06        -993.662E-06  
               65.1007E-03       191.428E-06       -922.858E-06  
               65.7182E-03       178.42E-06        -898.782E-06  
               66.3357E-03       214.22E-06        -937.48E-06   
               66.9532E-03       275.164E-06         -1.01115E-03
               67.5706E-03       324.584E-06         -1.06863E-03
               68.1881E-03       333.175E-06         -1.07227E-03
               68.8056E-03       295.61E-06          -1.02306E-03
               69.423E-03        234.749E-06       -956.97E-06   
               70.0405E-03       189.122E-06       -917.677E-06  
               70.658E-03        188.849E-06       -927.542E-06  
               71.2755E-03       234.793E-06       -976.143E-06  
               71.8929E-03       296.481E-06         -1.03071E-03
               72.5104E-03       332.291E-06         -1.05812E-03
               73.1279E-03       318.464E-06         -1.04386E-03
               73.7454E-03       265.667E-06       -998.474E-06  
               74.3628E-03       210.744E-06       -950.133E-06  
               74.9803E-03       190.196E-06       -928.207E-06  
               75.5978E-03       215.386E-06       -946.123E-06  
               76.2153E-03       266.862E-06       -992.779E-06  
               76.8327E-03       309.858E-06         -1.0385E-03 
               77.4502E-03       318.071E-06         -1.05352E-03
               78.0677E-03       289.152E-06         -1.0278E-03 
               78.6852E-03       243.522E-06       -978.53E-06   
               79.3026E-03       209.891E-06       -938.832E-06  
               79.9201E-03       207.816E-06       -934.999E-06  
               80.5376E-03       237.144E-06       -968.471E-06  
               81.1551E-03       279.101E-06         -1.01557E-03
               81.7725E-03       307.693E-06         -1.04468E-03
               82.39E-03         305.242E-06         -1.03793E-03
               83.0075E-03       273.39E-06          -1.00197E-03
               83.625E-03        232.569E-06       -961.66E-06   
               84.2424E-03       209.287E-06       -942.569E-06  
               84.8599E-03       218.73E-06        -955.048E-06  
               85.4774E-03       254.353E-06       -989.348E-06  
               86.0949E-03       292.145E-06         -1.02325E-03
               86.7123E-03       307.05E-06          -1.03613E-03
               87.3298E-03       289.998E-06         -1.02101E-03
               87.9473E-03       253.52E-06        -988.004E-06  
               88.5648E-03       222.355E-06       -957.943E-06  
               89.1822E-03       216.349E-06       -949.619E-06  
               89.7997E-03       237.819E-06       -968.113E-06  
               90.4172E-03       271.412E-06         -1.00137E-03
               91.0347E-03       295.276E-06         -1.02773E-03
               91.6521E-03       295.192E-06         -1.03009E-03
               92.2696E-03       272.639E-06         -1.00727E-03
               92.8871E-03       242.685E-06       -974.809E-06  
               93.5045E-03       224.061E-06       -954.298E-06  
               94.122E-03        227.793E-06       -958.751E-06  
               94.7395E-03       250.896E-06       -984.212E-06  
               95.357E-03        278.517E-06         -1.01317E-03
               95.9744E-03       293.193E-06         -1.02681E-03
               96.5919E-03       285.778E-06         -1.01729E-03
               97.2094E-03       261.311E-06       -992.018E-06  
               97.8269E-03       235.829E-06       -967.778E-06  
               98.4443E-03       225.907E-06       -959.628E-06  
               99.0618E-03       237.697E-06       -971.75E-06   
               99.6793E-03       262.949E-06       -995.648E-06  
              100.297E-03        284.762E-06         -1.01604E-03
              100.914E-03        289.057E-06         -1.02041E-03
              101.532E-03        273.785E-06         -1.00652E-03
              102.149E-03        249.721E-06       -983.542E-06  
              102.767E-03        232.74E-06        -966.165E-06  
              103.384E-03        233.275E-06       -965.349E-06  
              104.002E-03        250.023E-06       -981.328E-06  
              104.619E-03        271.567E-06         -1.00349E-03
              105.237E-03        284.186E-06         -1.01736E-03
              105.854E-03        280.466E-06         -1.01413E-03
              106.472E-03        263.471E-06       -996.387E-06  
              107.089E-03        244.312E-06       -976.126E-06  
              107.706E-03        235.008E-06       -966.576E-06  
              108.324E-03        241.08E-06        -973.454E-06  
              108.941E-03        258.301E-06       -991.587E-06  
              109.559E-03        275.51E-06          -1.00883E-03
              110.176E-03        281.744E-06         -1.01426E-03
              110.794E-03        273.242E-06         -1.00506E-03
              111.411E-03        255.801E-06       -987.766E-06  
              112.029E-03        240.896E-06       -973.616E-06  
              112.646E-03        238.102E-06       -971.311E-06  
              113.264E-03        248.86E-06        -981.776E-06  
              113.881E-03        265.745E-06       -997.974E-06  
